stool, solid excretory product evacuated from the bowels
chieftainship, the position of chieftain
saxony, an area in Germany around the upper Elbe river; the original home of the Saxons
ondatra zibethica, beaver-like aquatic rodent of North America with dark glossy brown fur
founder, sink below the surface
rose campion, an old cottage garden plant of southeastern Europe widely cultivated for its attractive white woolly foliage and showy crimson flowers
enjoyment, the pleasure felt when having a good time
german shepherd dog, breed of large shepherd dogs used in police work and as a guide for the blind
quilt, stitch or sew together; "quilt the skirt"
wake island, an island in the western Pacific between Guam and Hawaii
raise, move upwards; "lift one's eyes"
admiralty, the department in charge of the navy (as in Great Britain)
opener, a hand tool used for opening sealed containers (bottles or cans)
watchman, a guard who keeps watch
reducing, loss of excess weight (as by dieting); becoming slimmer; "a doctor supervised her reducing"
twaddle, speak (about unimportant matters) rapidly and incessantly
yodel, a songlike cry in which the voice fluctuates rapidly between the normal voice and falsetto
apostolic delegate, (Roman Catholic Church) a representative of the Holy See in a country that has no formal diplomatic relations with it
exhilaration, the feeling of lively and cheerful joy; "he could hardly conceal his excitement when she agreed"
latticework, framework consisting of an ornamental design made of strips of wood or metal
lifer, a prisoner serving a term of life imprisonment
mandragora, a genus of stemless herbs of the family Solanaceae
bit, a unit of measurement of information (from binary + digit); the amount of information in a system having two equiprobable states; "there are 8 bits in a byte"
dispraise, the act of speaking contemptuously of
genus bletia, genus of tropical American terrestrial orchids with large purple or pink flowers
silicon valley, a region in California to the south of San Francisco that is noted for its concentration of high-technology industries
rush, attack suddenly
placodermi, extinct group of bony-plated fishes with primitive jaws
idolization, the act of admiring strongly
rhincodontidae, small-toothed sharks comprising only one species
taurotragus, African antelopes: elands
saddam's martyrs, a feared paramilitary unit formed in 1995 by young soldiers to serve Saddam Hussein against domestic opponents
otariidae, eared seals: sea lions and fur seals
preachification, moralization delivered tediously in a preachy manner
vena peroneus, accompany the peroneal arteries; arising in the heel and running up the back of the leg to join the posterior tibial veins of the popliteal vein
webb, English sociologist and economist and a central member of the Fabian Society (1859-1947)
sledgehammer, a heavy long-handled hammer used to drive stakes or wedges
shipyard, a workplace where ships are built or repaired
adequateness, the quality of being able to meet a need satisfactorily: "he questioned the adequacy of the usual sentimental interpretation of the Golden Rule"
third estate, the common people
redoubt, (military) a temporary or supplementary fortification; typically square or polygonal without flanking defenses
freewheeler, someone acting freely or even irresponsibly
union representative, a representative for a labor union
sundacarpus, one species
baffle board, a flat plate that controls or directs the flow of fluid or energy
squat, sit on one's heels; "In some cultures, the women give birth while squatting"; "The children hunkered down to protect themselves from the sandstorm"
jacaranda, an important Brazilian timber tree yielding a heavy hard dark-colored wood streaked with black
